model,magnitude_cm,force_N,fired,success
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,0
OFT,1,0.1127,1,0
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,0
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,1,0.1127,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,0
OFT,3,0.1175,1,0
OFT,3,0.1175,1,0
OFT,3,0.1175,1,0
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,1
OFT,3,0.1175,1,0
OFT,3,0.1175,1,1
